unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,
1473825600,14-Sep-16,BTC/USD,607.51,610.73,604.71,605.25,1312.728355,794528.837,14-Sep-16
1473912000,15-Sep-16,BTC/USD,605.25,608.98,605.25,606.97,1151.619778,698998.6566,15-Sep-16
1473998400,16-Sep-16,BTC/USD,606.97,609.03,606.26,607.4,1126.003653,683934.6189,16-Sep-16
1474084800,17-Sep-16,BTC/USD,607.4,607.61,606.36,606.38,384.0796631,232898.2261,17-Sep-16
1474171200,18-Sep-16,BTC/USD,606.38,609.99,606.37,609.98,246.282666,150227.5006,18-Sep-16
1474257600,19-Sep-16,BTC/USD,609.98,610.3,607.23,607.84,1762.894764,1071557.953,19-Sep-16
1474344000,20-Sep-16,BTC/USD,607.84,608.69,591.95,597.2,881.686113,526542.9467,20-Sep-16
1474430400,21-Sep-16,BTC/USD,597.2,599,592.93,595.7,4171.79306,2485137.126,21-Sep-16
1474516800,22-Sep-16,BTC/USD,595.7,596.17,593.82,595.14,2933.703424,1745964.256,22-Sep-16
1474603200,23-Sep-16,BTC/USD,595.14,602,595.13,602,4945.695072,2977308.434,23-Sep-16
1474689600,24-Sep-16,BTC/USD,602,603.28,598.51,601.48,1621.351106,975210.2635,24-Sep-16
1474776000,25-Sep-16,BTC/USD,601.48,601.48,598.19,600,1486.602977,891961.7862,25-Sep-16
1474862400,26-Sep-16,BTC/USD,600,607.58,599.99,606.14,2300.440733,1394389.146,26-Sep-16
1474948800,27-Sep-16,BTC/USD,606.14,607.2,601.11,604.04,3734.927149,2256045.395,27-Sep-16
1475035200,28-Sep-16,BTC/USD,604.04,604.94,602.75,604.17,3284.098282,1984153.659,28-Sep-16
1475121600,29-Sep-16,BTC/USD,604.17,606.52,603.86,604.87,3596.240799,2175258.172,29-Sep-16
1475208000,30-Sep-16,BTC/USD,604.87,612.53,603.51,611.51,3418.099357,2090201.938,30-Sep-16
1475294400,1-Oct-16,BTC/USD,611.51,616,611.51,614.04,1022.567176,627897.1489,1-Oct-16
1475380800,2-Oct-16,BTC/USD,614.04,614.04,606.995,610.5,781.5225801,477119.5351,2-Oct-16
1475467200,3-Oct-16,BTC/USD,610.5,613,610.5,612.88,2561.512831,1569899.984,3-Oct-16
1475553600,4-Oct-16,BTC/USD,612.88,612.98,609.05,610.4,2766.742727,1688819.761,4-Oct-16
1475640000,5-Oct-16,BTC/USD,610.4,613.94,609.67,612.08,2542.905033,1556461.313,5-Oct-16
1475726400,6-Oct-16,BTC/USD,612.08,613.19,610,610.3,3300.526913,2014311.575,6-Oct-16
1475812800,7-Oct-16,BTC/USD,610.3,617.99,610.3,617.99,3053.572389,1887077.2,7-Oct-16
1475899200,8-Oct-16,BTC/USD,617.99,618.38,616.96,617.98,828.0731116,511732.6215,8-Oct-16
1475985600,9-Oct-16,BTC/USD,617.98,618.01,615.18,617.98,745.0501355,460426.0827,9-Oct-16
1476072000,10-Oct-16,BTC/USD,617.98,617.99,614.73,617.38,2120.541942,1309180.184,10-Oct-16
1476158400,11-Oct-16,BTC/USD,617.38,640,617.38,637.29,4369.286086,2784502.33,11-Oct-16
1476244800,12-Oct-16,BTC/USD,637.29,640,634.74,639.97,3793.967713,2428025.517,12-Oct-16
1476331200,13-Oct-16,BTC/USD,639.97,639.97,634.64,636.56,3149.843855,2005064.604,13-Oct-16
1476417600,14-Oct-16,BTC/USD,636.56,641.59,632.44,639.47,3169.27366,2026655.427,14-Oct-16
1476504000,15-Oct-16,BTC/USD,639.47,639.47,633.23,636.98,617.8656407,393568.0558,15-Oct-16
1476590400,16-Oct-16,BTC/USD,636.98,640.68,635.01,635.01,853.3140223,541862.9373,16-Oct-16
1476676800,17-Oct-16,BTC/USD,635.01,638.31,634.52,636.65,2737.18252,1742627.251,17-Oct-16
1476763200,18-Oct-16,BTC/USD,636.65,638.88,633.69,635,2567.188241,1630164.533,18-Oct-16
1476849600,19-Oct-16,BTC/USD,635,637.29,625.28,625.41,3041.200411,1901997.149,19-Oct-16
1476936000,20-Oct-16,BTC/USD,625.41,629.99,622.83,629.99,1980.535464,1247717.537,20-Oct-16
1477022400,21-Oct-16,BTC/USD,629.99,631.87,628.23,630.99,2699.370508,1703275.797,21-Oct-16
1477108800,22-Oct-16,BTC/USD,630.99,664.54,630.99,657.16,2119.591342,1392910.646,22-Oct-16
1477195200,23-Oct-16,BTC/USD,657.16,657.16,646.87,648.88,418.7291725,271704.9855,23-Oct-16
1477281600,24-Oct-16,BTC/USD,648.88,652.57,645.36,652.2,3508.25784,2288085.763,24-Oct-16
1477368000,25-Oct-16,BTC/USD,652.2,658.99,646.99,657.01,2548.078465,1674113.032,25-Oct-16
1477454400,26-Oct-16,BTC/USD,657.01,682.47,657.01,681.15,3396.564564,2313569.952,26-Oct-16
1477540800,27-Oct-16,BTC/USD,681.15,683.26,676.75,682.54,2522.832248,1721933.923,27-Oct-16
1477627200,28-Oct-16,BTC/USD,682.54,702.59,682.54,702.07,2914.191663,2045966.541,28-Oct-16
1477713600,29-Oct-16,BTC/USD,702.07,722.21,695.23,708.26,1722.587596,1220039.891,29-Oct-16
